nm0000209 TimRobbins
nm0000151 MorganFreeman
nm0348409 BobGunton
nm0006669 WilliamSadler
nm0000008 MarlonBrando
nm0000199 AlPacino
nm0001001 JamesCaan
nm0000473 DianeKeaton
nm0000134 RobertDeNiro
nm0000380 RobertDuvall
nm0000288 ChristianBale
nm0005132 HeathLedger
nm0001173 AaronEckhart
nm0000323 MichaelCaine
nm0000020 HenryFonda
nm0002011 LeeJ.Cobb
nm0000842 MartinBalsam
nm0275835 JohnFiedler
nm0000553 LiamNeeson
nm0000146 RalphFiennes
nm0001426 BenKingsley
nm0328751 CarolineGoodall
nm0000704 ElijahWood
nm0001557 ViggoMortensen
nm0005212 IanMcKellen
nm0089217 OrlandoBloom
nm0000237 JohnTravolta
nm0000235 UmaThurman
nm0000168 SamuelL.Jackson
nm0000246 BruceWillis
nm0000142 ClintEastwood
nm0908919 EliWallach
nm0001812 LeeVanCleef
nm0321294 AldoGiuffrè
nm0000093 BradPitt
nm0001570 EdwardNorton
nm0001533 MeatLoaf
nm0340260 ZachGrenier
nm0000293 SeanBean
nm0000158 TomHanks
nm0000705 RobinWright
nm0000641 GarySinise
nm0000398 SallyField
nm0000434 MarkHamill
nm0000148 HarrisonFord
nm0000402 CarrieFisher
nm0001850 BillyDeeWilliams
nm0000138 LeonardoDiCaprio
nm0330687 JosephGordon-Levitt
nm0680983 EllenPage
nm0913822 KenWatanabe
nm0000197 JackNicholson
nm0001221 LouiseFletcher
nm0760225 WillSampson
nm0077720 MichaelBerryman
nm0000501 RayLiotta
nm0000582 JoePesci
nm0000966 LorraineBracco
nm0000206 KeanuReeves
nm0000401 LaurenceFishburne
nm0005251 Carrie-AnneMoss
nm0915989 HugoWeaving
nm0001536 ToshirôMifune
nm0793766 TakashiShimura
nm0875477 KeikoTsushima
nm0793616 YukikoShimazaki
nm0000228 KevinSpacey
nm0001825 AndrewKevinWalker
nm1179105 AlexandreRodrigues
nm1129884 LeandroFirmino
nm0618690 MatheusNachtergaele
nm1249574 PhellipeHaagensen
nm0000027 AlecGuinness
nm0000149 JodieFoster
nm0000164 AnthonyHopkins
nm0095029 LawrenceA.Bonney
nm0501435 KasiLemmons
nm0000071 JamesStewart
nm0001656 DonnaReed
nm0000859 LionelBarrymore
nm0593775 ThomasMitchell
nm0000905 RobertoBenigni
nm0000971 NicolettaBraschi
nm0134493 GiorgioCantarini
nm0243842 GiustinoDurano
nm0153738 DaveighChase
nm0687189 SuzannePleshette
nm0997115 MiyuIrino
nm0383708 RumiHiiragi
nm0000354 MattDamon
nm0001744 TomSizemore
nm0122653 EdwardBurns
nm0000321 GabrielByrne
nm0001590 ChazzPalminteri
nm0000286 StephenBaldwin
nm0000606 JeanReno
nm0000198 GaryOldman
nm0000204 NataliePortman
nm0000732 DannyAiello
nm0003817 MichaelClarkeDuncan
nm0001556 DavidMorse
nm0001372 BonnieHunt
nm0000190 MatthewMcConaughey
nm0004266 AnneHathaway
nm1567113 JessicaChastain
nm3237775 MackenzieFoy
nm0000578 AnthonyPerkins
nm0001463 JanetLeigh
nm0587256 VeraMiles
nm0001260 JohnGavin
nm0000411 EdwardFurlong
nm0000350 BeverlyD'Angelo
nm0000497 JenniferLien
nm0000122 CharlesChaplin
nm0156039 VirginiaCherrill
nm5681967 FlorenceLee
nm0616729 HarryMyers
nm0000007 HumphreyBogart
nm0000006 IngridBergman
nm0002134 PaulHenreid
nm0001647 ClaudeRains
nm0000314 CharlesBronson
nm0001012 ClaudiaCardinale
nm0001673 JasonRobards
nm0004778 AdrienBrody
nm0470981 ThomasKretschmann
nm0277975 FrankFinlay
nm0288976 EmiliaFox
nm0305087 AlErnestGarcia
nm0002104 PauletteGoddard
nm0074788 HenryBergman
nm0761866 TinySandford
nm0174682 ChesterConklin
nm0003424 HankMann
nm0090008 StanleyBlystone
nm0167388 FrançoisCluzet
nm1082477 OmarSy
nm0494504 AnneLeNy
nm1109153 AudreyFleurot
nm0000242 MarkWahlberg
nm0000150 MichaelJ.Fox
nm0000502 ChristopherLloyd
nm0000670 LeaThompson
nm0000417 CrispinGlover
nm0000216 ArnoldSchwarzenegger
nm0000157 LindaHamilton
nm0001598 RobertPatrick
nm1886602 MilesTeller
nm0799777 J.K.Simmons
nm2552034 MelissaBenoist
nm0001663 PaulReiser
nm0000038 GraceKelly
nm0179819 WendellCorey
nm0728812 ThelmaRitter
nm0000111 MatthewBroderick
nm0000460 JeremyIrons
nm0000469 JamesEarlJones
nm0000155 WhoopiGoldberg
nm4271336 ShameikMoore
nm2159926 JakeJohnson
nm2794962 HaileeSteinfeld
nm0991810 MahershalaAli
nm0000261 KarenAllen
nm0293550 PaulFreeman
nm0722636 JohnRhys-Davies
nm0000128 RussellCrowe
nm0001618 JoaquinPhoenix
nm0001567 ConnieNielsen
